,コメントID,投稿時間,ユーザ名,コメント,コメント文字数
0,7.0,2024-11-09 13:55:55 ,Aru🌷,YSTTA:double_exclamation_mark:︎,31.0
1,27.0,2024-11-09 14:03:52 ,通りすがり,いいセンスだ……,8.0
2,35.0,2024-11-09 14:04:29 ,えむるん｡,儀式了解,4.0
3,43.0,2024-11-09 14:04:50 ,えむるん｡,おちぐ前を向きなさい,10.0
4,49.0,2024-11-09 14:05:20 ,こゆき,いい曲だよねw,7.0
5,60.0,2024-11-09 14:06:02 ,こゆき,きちゃー！,5.0
6,72.0,2024-11-09 14:07:41 ,latte,22章おじさん YATTA！,14.0
7,80.0,2024-11-09 14:08:02 ,えむるん｡,こんちぐ〜,5.0
8,121.0,2024-11-09 14:08:49 ,latte,ついに！,4.0
9,122.0,2024-11-09 14:08:49 ,こゆき,ついにー！！！！,8.0
10,151.0,2024-11-09 14:09:53 ,latte,沼るんすよ,5.0
11,157.0,2024-11-09 14:09:59 ,えむるん｡,色々ありましたね…,9.0
12,169.0,2024-11-09 14:10:29 ,latte,ここからコンテンツボリュームどんどん増えてくるので安心してください,33.0
13,202.0,2024-11-09 14:11:24 ,えむるん｡,布団にくるまって見てるw,12.0
14,218.0,2024-11-09 14:12:11 ,こゆき,せやな,3.0
15,219.0,2024-11-09 14:12:12 ,えむるん｡,まさかここまでハマるとはねw,14.0
16,226.0,2024-11-09 14:12:39 ,通りすがり,第一部の時点でフルコースで第二部はフルコース第二弾だぞ,27.0
17,227.0,2024-11-09 14:12:39 ,latte,メインが押し寄せてくる,11.0
18,228.0,2024-11-09 14:12:40 ,こゆき,そうやねw,5.0
19,252.0,2024-11-09 14:13:52 ,latte,はーい,3.0
20,254.0,2024-11-09 14:13:57 ,えむるん｡,ﾊｲｯ,3.0
21,256.0,2024-11-09 14:14:02 ,こゆき,はーい！,4.0
22,283.0,2024-11-09 14:14:34 ,えむるん｡,平和な世界線だ,7.0
23,318.0,2024-11-09 14:15:33 ,えむるん｡,昔のいんちょ見れてよかったね,14.0
24,322.0,2024-11-09 14:15:49 ,latte,↑,1.0
25,339.0,2024-11-09 14:16:35 ,latte,草,1.0
26,340.0,2024-11-09 14:16:39 ,えむるん｡,かっけー,4.0
27,359.0,2024-11-09 14:17:28 ,latte,ヘソだし,4.0
28,373.0,2024-11-09 14:18:10 ,latte,草,1.0
29,394.0,2024-11-09 14:18:23 ,latte,オットーが死ぬのは面白い,12.0
30,395.0,2024-11-09 14:18:23 ,通りすがり,オットーは死んだよ,9.0
31,404.0,2024-11-09 14:18:40 ,えむるん｡,オットーだしいいだろ,10.0
32,422.0,2024-11-09 14:19:49 ,秀,フカが５万年生きてたという事だとおもうよ,20.0
33,441.0,2024-11-09 14:20:22 ,えむるん｡,それな！,4.0
34,454.0,2024-11-09 14:21:16 ,通りすがり,崩壊3rdで一番演じ分けの凄さが見れると思う高山みなみさん,29.0
35,456.0,2024-11-09 14:21:48 ,latte,かわいい,4.0
36,473.0,2024-11-09 14:22:29 ,えむるん｡,ちゃんと引っかかるw,10.0
37,481.0,2024-11-09 14:23:03 ,latte,このフォーム強いよね,10.0
38,497.0,2024-11-09 14:24:01 ,latte,メニュー開くとコマンド見られますよ,17.0
39,514.0,2024-11-09 14:24:18 ,latte,おっとっと,5.0
40,537.0,2024-11-09 14:24:45 ,latte,やぁねっとり,6.0
41,540.0,2024-11-09 14:24:47 ,えむるん｡,やぁじゃないんだよなw,11.0
42,544.0,2024-11-09 14:25:11 ,latte,ゴキブリみたいなもんだしな,13.0
43,583.0,2024-11-09 14:26:42 ,通りすがり,一回は一回だ,6.0
44,584.0,2024-11-09 14:26:42 ,えむるん｡,そうはならんやろ,8.0
45,587.0,2024-11-09 14:27:02 ,latte,プレイヤーの代弁者だ,10.0
46,604.0,2024-11-09 14:28:11 ,Nana Shimotuki 霜月奈々,デュランダルとかは前任だからなあ…,17.0
47,605.0,2024-11-09 14:28:22 ,えむるん｡,言いくるめられた…,9.0
48,607.0,2024-11-09 14:28:30 ,通りすがり,口論でオットーに勝とうとするなんて無理な話だった…,25.0
49,622.0,2024-11-09 14:30:04 ,通りすがり,こいつケビンにフカの対処ぶん投げやがった！,21.0
50,634.0,2024-11-09 14:31:20 ,latte,ﾆﾁｬｧ,4.0
51,637.0,2024-11-09 14:31:26 ,えむるん｡,目が怖い…,5.0
52,673.0,2024-11-09 14:34:07 ,秀,パワーポイント覚えたてのあれ,14.0
53,689.0,2024-11-09 14:34:27 ,秀,色々試していた頃だしね,11.0
54,719.0,2024-11-09 14:35:10 ,通りすがり,すっげぇ大事な話してるのに！,14.0
55,721.0,2024-11-09 14:35:17 ,ハッチ,ｗｗｗｗｗｗｗｗｗｗｗ,11.0
