,コメントID,投稿時間,ユーザ名,コメント,コメント文字数
0,1,2024-11-09 13:48:21 ,SPICA,YATTA！,6.0
1,2,2024-11-09 13:49:09 ,TD乗り,YATTA!,6.0
2,4,2024-11-09 13:49:32 ,ぽんたろうぽこポン,本当にありがたい,8.0
3,5,2024-11-09 13:50:03 ,Cooky / クッキー,セロリYATTA！,9.0
4,6,2024-11-09 13:54:18 ,Forever Alone Fansub -FaFS-,いよいよだな。22章！！！！,14.0
5,7,2024-11-09 13:55:55 ,Aru🌷,YSTTA:double_exclamation_mark:︎,31.0
6,8,2024-11-09 13:56:11 ,Aru🌷,YATTA:double_exclamation_mark:︎,31.0
7,9,2024-11-09 13:56:39 ,NIMO,何も知らない初見配信者からしか得られない栄養素が取れると聞いて,31.0
8,10,2024-11-09 13:58:07 ,天城ひかり,YATTA!!,7.0
9,12,2024-11-09 14:02:42 ,雪⋆꙳,YATTA！！,7.0
10,13,2024-11-09 14:02:55 ,Hida,22おじ登場,6.0
11,14,2024-11-09 14:03:00 ,西園チグサ / Nishizono Chigusa,ちょっと気合入れる為に儀式だけやらせて,19.0
12,15,2024-11-09 14:03:14 ,Cooky / クッキー,儀式？,3.0
13,17,2024-11-09 14:03:23 ,西園チグサ / Nishizono Chigusa,崩壊3rdやる前は必ずMoonHaloを聞いてまして・・・。,30.0
14,18,2024-11-09 14:03:24 ,雪⋆꙳,儀式…？？,5.0
15,19,2024-11-09 14:03:25 ,ヤス,気合注入だ,5.0
16,20,2024-11-09 14:03:32 ,ごぼうとう,儀式どうぞ,5.0
17,21,2024-11-09 14:03:36 ,DSK FJ,乾布摩擦かな,6.0
18,22,2024-11-09 14:03:38 ,紫星[しほ],おじさん…ちぐちゃんの22章が見られて嬉しいよ,23.0
19,23,2024-11-09 14:03:43 ,カエデ,儀式ってなんだ？,8.0
20,24,2024-11-09 14:03:46 ,ぽんたろうぽこポン,気合い入ってるなあ,9.0
21,25,2024-11-09 14:03:46 ,鳳五郎(ほうごろう),YATTA!!,7.0
22,26,2024-11-09 14:03:47 ,西園チグサ / Nishizono Chigusa,俺は怖いよ！！！！！！！！！！！,16.0
23,27,2024-11-09 14:03:52 ,通りすがり,いいセンスだ……,8.0
24,28,2024-11-09 14:03:53 ,Cooky / クッキー,いいね～,4.0
25,29,2024-11-09 14:03:56 ,ゼウマックス,MoonHalo聞いとるんかw,15.0
26,30,2024-11-09 14:03:58 ,ラザ,本編で流れたらどうなってしまうんだ,17.0
27,31,2024-11-09 14:04:01 ,お父ちゃん,気合いを入れる儀式だな,11.0
28,32,2024-11-09 14:04:01 ,huhuhu hahaha,素晴らしい儀式だ,8.0
29,33,2024-11-09 14:04:01 ,テイオー,神曲！,3.0
30,34,2024-11-09 14:04:18 ,ヤス,覚悟決めてくか,7.0
31,35,2024-11-09 14:04:29 ,えむるん｡,儀式了解,4.0
32,37,2024-11-09 14:04:32 ,けいけい,MoonHaloとかおじさんのテンション上がっちゃう,26.0
33,38,2024-11-09 14:04:33 ,雷々,儀式は大事ぞ。,7.0
34,39,2024-11-09 14:04:33 ,つぎはぎ,MoonHaloいいですよねー！,16.0
35,40,2024-11-09 14:04:42 ,DSK FJ,単品で聞いてもい曲だよぬ,12.0
36,41,2024-11-09 14:04:42 ,カイル,MoonHaloは神曲だからね何度聴いても良い,23.0
37,42,2024-11-09 14:04:49 ,ごぼうとう,いい曲でテンション上げる、大事,15.0
38,43,2024-11-09 14:04:50 ,えむるん｡,おちぐ前を向きなさい,10.0
39,44,2024-11-09 14:04:51 ,ヒイラギ,ガンギマリムーンハロー,11.0
40,45,2024-11-09 14:05:07 ,れの,この日を楽しみにしてた！！,13.0
41,46,2024-11-09 14:05:08 ,こゆき,頑張れw,4.0
42,47,2024-11-09 14:05:08 ,ピータン,miHoYoを信じろ！,11.0
43,48,2024-11-09 14:05:19 ,鳳五郎(ほうごろう),Moonhaloはいいぞ…,13.0
44,49,2024-11-09 14:05:20 ,こゆき,いい曲だよねw,7.0
45,50,2024-11-09 14:05:37 ,夜音ヤオン,YATTA！,6.0
46,51,2024-11-09 14:05:40 ,nanami,miHoYoを信じろ,10.0
47,52,2024-11-09 14:05:42 ,ヤス,きちゃ！,4.0
48,53,2024-11-09 14:05:49 ,Cooky / クッキー,きちゃあ,4.0
49,54,2024-11-09 14:05:50 ,KICKS,きちゃ,3.0
50,55,2024-11-09 14:05:53 ,つぎはぎ,きちゃー！,5.0
51,57,2024-11-09 14:05:55 ,えむるん｡,きちゃー,4.0
52,58,2024-11-09 14:05:55 ,えぐりん,MoonHaloはちょっと気が早い,17.0
53,59,2024-11-09 14:05:59 ,はくさい,きちゃ！,4.0
54,60,2024-11-09 14:06:02 ,こゆき,きちゃー！,5.0
55,61,2024-11-09 14:06:03 ,ピータン,きちゃ！,4.0
56,62,2024-11-09 14:06:08 ,白夜666,きちゃ！,4.0
57,63,2024-11-09 14:06:09 ,Hida,私とたわし,5.0
58,64,2024-11-09 14:06:17 ,えむるん｡,ついえら:_まるだ:,10.0
59,65,2024-11-09 14:06:17 ,Mr A,moonhaloはいいよねえ,14.0
60,66,2024-11-09 14:06:46 ,ヤス,ついえら！,5.0
61,67,2024-11-09 14:06:58 ,どどめ色マヨネーズ,今日このために生きてきた,12.0
62,68,2024-11-09 14:07:14 ,つぎはぎ,ついえらです！,7.0
63,69,2024-11-09 14:07:18 ,黄金の鉄の鍬〈クワ〉,MoonHaloゲーム内で生で聞く日が楽しみやわ,24.0
64,70,2024-11-09 14:07:26 ,Cooky / クッキー,今週ずっとこれを楽しみにしてたんだ（２２章おじさん）,26.0
65,71,2024-11-09 14:07:31 ,雪⋆꙳,22章はいいぞ,7.0
66,72,2024-11-09 14:07:41 ,latte,22章おじさん YATTA！,14.0
67,73,2024-11-09 14:07:42 ,雷々,泣いたっていいんだ 乗り越えろ！,16.0
68,74,2024-11-09 14:07:56 ,ユウキ,22章はいいぞ,7.0
69,75,2024-11-09 14:07:56 ,ある,このときを待ってました！,12.0
70,76,2024-11-09 14:07:58 ,Nana Shimotuki 霜月奈々,成仏できる…,6.0
71,77,2024-11-09 14:07:58 ,雪⋆꙳,こんちぐ〜,5.0
72,78,2024-11-09 14:07:59 ,Only92,こんにちは〜,6.0
73,79,2024-11-09 14:08:00 ,ヤス,こんちぐー！,6.0
74,80,2024-11-09 14:08:02 ,えむるん｡,こんちぐ〜,5.0
75,81,2024-11-09 14:08:03 ,CLZ7777,やった,3.0
76,82,2024-11-09 14:08:04 ,Nana Shimotuki 霜月奈々,こんチグー,5.0
77,83,2024-11-09 14:08:05 ,Hida,こんちぐ！,5.0
78,84,2024-11-09 14:08:07 ,ヲぬぬん,こんちぐ～,5.0
79,85,2024-11-09 14:08:08 ,半纏,ついにこの時が,7.0
80,86,2024-11-09 14:08:09 ,白夜666,こんちぐ～！,6.0
81,87,2024-11-09 14:08:09 ,ラザ,こんちぐ～！,6.0
82,88,2024-11-09 14:08:09 ,お父ちゃん,こんちぐ～,5.0
83,89,2024-11-09 14:08:10 ,takaya,こんちぐ～,5.0
84,90,2024-11-09 14:08:10 ,latte,こんちぐ〜,5.0
85,91,2024-11-09 14:08:10 ,Cooky / クッキー,こんチグ～,5.0
